user_age,user_location,device_type,ad_category,time_of_day,historical_ctr,clicked
39,USA,Mobile,Gaming,Night,0.1307,1
18,USA,Desktop,Education,Evening,0.0609,0
49,Germany,Desktop,Travel,Morning,0.0104,0
34,Canada,Desktop,Education,Evening,0.0513,0
34,USA,Desktop,Education,Night,0.0548,0
33,Australia,Desktop,Fashion,Morning,0.0364,0
61,India,Desktop,Fashion,Afternoon,0.0309,0
50,India,Mobile,Education,Afternoon,0.0507,0
64,USA,Desktop,Finance,Evening,0.0933,0
58,Canada,Desktop,Electronics,Morning,0.0253,0
38,Australia,Desktop,Travel,Evening,0.038,0
54,USA,Tablet,Gaming,Evening,0.1197,0
22,UK,Mobile,Gaming,Morning,0.1232,0
19,USA,Desktop,Gaming,Night,0.1392,0
27,India,Desktop,Gaming,Evening,0.1547,0
38,Canada,Tablet,Travel,Afternoon,0.0302,0
48,India,Tablet,Education,Morning,0.0515,0
47,Germany,Mobile,Education,Morning,0.0651,0
45,USA,Desktop,Gaming,Night,0.1354,0
30,USA,Desktop,Education,Night,0.0664,1
37,USA,Mobile,Fashion,Afternoon,0.0456,0
18,USA,Desktop,Finance,Afternoon,0.0863,0
40,USA,Mobile,Education,Night,0.0547,0
51,India,Mobile,Electronics,Night,0.0332,0
42,UK,Mobile,Gaming,Evening,0.1563,0
39,India,Mobile,Gaming,Morning,0.1103,0
39,India,Mobile,Fashion,Morning,0.0357,1
20,USA,Desktop,Fashion,Morning,0.0138,0
58,UK,Mobile,Gaming,Evening,0.1183,0
58,UK,Mobile,Travel,Night,0.0486,0
25,USA,Tablet,Fashion,Morning,0.0275,0
58,Australia,Desktop,Travel,Evening,0.0151,0
57,Germany,Mobile,Travel,Evening,0.0298,0
29,USA,Desktop,Fashion,Evening,0.0203,0
20,India,Desktop,Electronics,Evening,0.0341,0
25,Canada,Desktop,Finance,Afternoon,0.0956,0
29,Australia,Mobile,Electronics,Morning,0.03,0
54,UK,Mobile,Electronics,Morning,0.0404,0
41,Australia,Mobile,Finance,Afternoon,0.0726,0
58,Australia,Desktop,Education,Afternoon,0.0688,0
51,Germany,Mobile,Travel,Morning,0.048,0
57,India,Desktop,Electronics,Night,0.0174,0
62,Australia,Mobile,Finance,Night,0.093,0
63,USA,Tablet,Gaming,Evening,0.1108,0
20,India,Desktop,Gaming,Morning,0.1242,1
59,USA,Mobile,Travel,Night,0.0419,0
45,India,Tablet,Education,Evening,0.0462,0
29,India,Mobile,Education,Night,0.0765,0
37,Germany,Desktop,Education,Night,0.0595,0
25,India,Mobile,Fashion,Night,0.025,0
64,USA,Desktop,Education,Afternoon,0.0474,0
44,Australia,Desktop,Finance,Night,0.0665,0
19,Canada,Mobile,Gaming,Afternoon,0.1156,0
49,India,Mobile,Electronics,Morning,0.0314,0
33,USA,Mobile,Electronics,Morning,0.0259,0
44,USA,Desktop,Finance,Morning,0.0757,0
22,India,Mobile,Education,Evening,0.0805,0
56,USA,Tablet,Education,Afternoon,0.0452,0
25,India,Tablet,Education,Morning,0.0616,1
63,USA,Desktop,Travel,Morning,0.0245,0
41,USA,Desktop,Fashion,Afternoon,0.0155,0
57,USA,Mobile,Electronics,Evening,0.0476,0
63,India,Mobile,Electronics,Night,0.0292,0
62,USA,Desktop,Education,Evening,0.0494,0
58,USA,Mobile,Gaming,Evening,0.1305,1
25,USA,Mobile,Travel,Night,0.0399,0
25,India,Mobile,Education,Night,0.0579,0
31,UK,Mobile,Fashion,Night,0.0374,0
45,Germany,Mobile,Fashion,Night,0.0208,0
19,USA,Tablet,Education,Afternoon,0.0531,0
48,UK,Mobile,Fashion,Afternoon,0.0339,0
31,Canada,Desktop,Finance,Evening,0.0943,0
47,USA,Desktop,Travel,Evening,0.0329,0
32,India,Desktop,Finance,Morning,0.0863,0
41,Australia,Desktop,Travel,Morning,0.0281,0
58,USA,Mobile,Travel,Evening,0.0498,0
34,Australia,Tablet,Electronics,Morning,0.0259,0
20,India,Desktop,Finance,Evening,0.0831,0
20,USA,Mobile,Fashion,Night,0.0405,0
55,Canada,Mobile,Electronics,Morning,0.0262,0
23,UK,Mobile,Electronics,Evening,0.0277,1
28,Australia,Mobile,Electronics,Afternoon,0.0263,0
41,UK,Mobile,Education,Afternoon,0.0663,0
33,India,Mobile,Education,Morning,0.0592,0
47,Germany,Mobile,Education,Evening,0.075,0
53,UK,Mobile,Electronics,Evening,0.0527,0
18,Germany,Mobile,Travel,Morning,0.0429,0
32,USA,Mobile,Fashion,Evening,0.0273,0
54,India,Tablet,Education,Afternoon,0.0423,0
18,UK,Mobile,Education,Evening,0.0784,0
25,USA,Desktop,Travel,Night,0.0345,0
41,USA,Tablet,Fashion,Night,0.0341,1
30,Australia,Desktop,Travel,Afternoon,0.0111,0
36,UK,Tablet,Electronics,Morning,0.032,0
49,India,Mobile,Finance,Afternoon,0.0973,0
36,India,Desktop,Gaming,Afternoon,0.1047,0
63,UK,Mobile,Electronics,Night,0.0403,0
46,USA,Tablet,Gaming,Night,0.1221,0
46,Germany,Mobile,Fashion,Morning,0.0406,0
57,UK,Desktop,Finance,Morning,0.0961,0
40,USA,Desktop,Finance,Evening,0.0885,0
36,India,Tablet,Travel,Night,0.0316,0
37,Germany,Desktop,Travel,Evening,0.0173,0
58,India,Mobile,Gaming,Afternoon,0.1232,1
42,India,Mobile,Travel,Night,0.032,0
20,USA,Desktop,Finance,Morning,0.0775,0
61,USA,Mobile,Fashion,Afternoon,0.0492,0
57,India,Mobile,Gaming,Morning,0.1585,0
60,Canada,Mobile,Finance,Night,0.0932,0
44,Australia,Desktop,Travel,Evening,0.0184,0
52,India,Desktop,Electronics,Afternoon,0.0142,0
25,India,Mobile,Electronics,Evening,0.0335,0
38,UK,Tablet,Travel,Afternoon,0.032,0
42,India,Mobile,Education,Night,0.0572,0
55,India,Mobile,Finance,Night,0.0908,0
51,Germany,Desktop,Travel,Night,0.0399,0
50,Australia,Desktop,Electronics,Morning,0.0311,0
41,India,Desktop,Gaming,Evening,0.111,0
45,USA,Desktop,Finance,Night,0.0746,1
44,UK,Mobile,Travel,Night,0.0379,0
63,Germany,Mobile,Finance,Morning,0.089,1
32,India,Mobile,Fashion,Morning,0.0304,0
24,Australia,Tablet,Gaming,Morning,0.1169,0
62,UK,Mobile,Travel,Afternoon,0.0324,0
55,UK,Mobile,Finance,Evening,0.0906,1
44,USA,Desktop,Electronics,Morning,0.0245,0
36,USA,Mobile,Finance,Night,0.0905,0
63,USA,Desktop,Travel,Evening,0.0169,0
65,India,Mobile,Finance,Morning,0.0756,0
40,USA,Desktop,Education,Night,0.0658,0
29,Germany,Desktop,Fashion,Afternoon,0.0105,0
65,USA,Desktop,Fashion,Evening,0.0419,0
54,USA,Mobile,Fashion,Evening,0.0254,0
46,USA,Mobile,Fashion,Evening,0.0489,0
51,Germany,Mobile,Fashion,Morning,0.0436,0
38,USA,Desktop,Electronics,Morning,0.0101,0
62,India,Tablet,Fashion,Evening,0.0203,0
36,Canada,Mobile,Finance,Morning,0.1048,0
25,USA,Mobile,Fashion,Night,0.0337,0
35,Australia,Mobile,Gaming,Afternoon,0.1596,0
42,India,Desktop,Education,Evening,0.0499,0
27,India,Desktop,Gaming,Afternoon,0.1353,0
48,India,Mobile,Gaming,Evening,0.1253,1
21,UK,Mobile,Fashion,Morning,0.0372,0
61,Germany,Mobile,Finance,Morning,0.0937,0
44,USA,Mobile,Finance,Afternoon,0.1063,0
29,India,Mobile,Finance,Afternoon,0.0941,0
51,Germany,Desktop,Gaming,Morning,0.1055,0
24,India,Desktop,Education,Afternoon,0.0547,0
64,USA,Mobile,Education,Evening,0.0593,0
44,India,Mobile,Electronics,Evening,0.0369,0
47,USA,Mobile,Finance,Evening,0.0919,0
59,India,Desktop,Education,Evening,0.0577,0
21,India,Mobile,Finance,Evening,0.1055,0
25,India,Tablet,Travel,Night,0.0207,0
51,India,Tablet,Finance,Afternoon,0.0892,0
61,Germany,Mobile,Gaming,Evening,0.1353,0
23,UK,Mobile,Fashion,Morning,0.044,0
23,USA,Tablet,Finance,Evening,0.0716,1
36,Canada,Mobile,Gaming,Evening,0.1408,0
45,USA,Mobile,Fashion,Evening,0.031,0
45,UK,Mobile,Fashion,Morning,0.0399,1
50,Germany,Tablet,Fashion,Morning,0.0139,0
36,India,Tablet,Fashion,Night,0.0215,0
20,UK,Mobile,Travel,Evening,0.0437,0
39,India,Desktop,Finance,Morning,0.0632,0
49,India,Mobile,Fashion,Morning,0.0353,0
55,India,Desktop,Fashion,Afternoon,0.0237,0
43,India,Mobile,Travel,Evening,0.0462,1
54,USA,Mobile,Fashion,Morning,0.037,0
30,USA,Desktop,Travel,Evening,0.0421,0
63,India,Mobile,Fashion,Morning,0.0248,0
58,India,Desktop,Travel,Afternoon,0.0161,0
36,UK,Mobile,Education,Evening,0.0576,0
48,India,Desktop,Fashion,Afternoon,0.0192,0
46,USA,Tablet,Finance,Night,0.0622,0
19,UK,Tablet,Electronics,Evening,0.0449,0
56,Germany,Mobile,Gaming,Night,0.1352,0
33,Australia,Desktop,Electronics,Evening,0.0362,0
54,India,Mobile,Education,Afternoon,0.0512,0
62,India,Desktop,Fashion,Morning,0.0187,0
36,UK,Mobile,Education,Evening,0.076,0
36,India,Desktop,Fashion,Night,0.0358,0
31,Australia,Mobile,Finance,Night,0.1056,0
55,India,Tablet,Travel,Evening,0.0414,0
62,India,Tablet,Gaming,Evening,0.1055,0
26,Australia,Desktop,Education,Afternoon,0.0476,0
61,India,Mobile,Finance,Night,0.0951,0
55,USA,Mobile,Electronics,Morning,0.0376,0
26,India,Desktop,Travel,Evening,0.0332,0
40,Germany,Tablet,Travel,Afternoon,0.011,0
30,UK,Mobile,Electronics,Morning,0.0408,0
27,Canada,Mobile,Electronics,Evening,0.0544,0
57,USA,Desktop,Fashion,Afternoon,0.0176,0
54,UK,Desktop,Electronics,Morning,0.0189,0
30,Canada,Desktop,Travel,Morning,0.0183,0
53,India,Desktop,Fashion,Afternoon,0.0347,0
52,Canada,Mobile,Education,Night,0.0616,0
25,UK,Mobile,Education,Morning,0.0683,0
21,Australia,Mobile,Electronics,Evening,0.0274,0
58,UK,Desktop,Gaming,Afternoon,0.1435,0
56,India,Mobile,Travel,Evening,0.0419,0
28,India,Mobile,Travel,Night,0.0426,0
54,India,Mobile,Finance,Evening,0.0766,0
33,India,Desktop,Gaming,Evening,0.1295,0
44,India,Desktop,Education,Morning,0.0467,0
52,Canada,Mobile,Travel,Morning,0.035,0
18,Australia,Mobile,Gaming,Evening,0.1172,0
35,UK,Tablet,Electronics,Evening,0.025,0
25,India,Mobile,Fashion,Night,0.0267,0
40,USA,Desktop,Fashion,Morning,0.0109,0
61,India,Mobile,Fashion,Night,0.0238,0
41,India,Desktop,Travel,Afternoon,0.0379,0
50,India,Mobile,Education,Afternoon,0.0525,0
34,India,Mobile,Gaming,Night,0.1588,1
27,USA,Mobile,Travel,Morning,0.0358,0
62,Australia,Desktop,Finance,Night,0.0672,0
20,USA,Mobile,Travel,Afternoon,0.0424,0
63,India,Mobile,Gaming,Afternoon,0.1179,0
25,USA,Desktop,Gaming,Afternoon,0.1183,0
32,India,Mobile,Travel,Morning,0.0215,0
27,USA,Desktop,Fashion,Afternoon,0.0337,0
27,UK,Tablet,Fashion,Evening,0.0293,0
64,USA,Mobile,Travel,Morning,0.0306,0
23,India,Tablet,Fashion,Night,0.0229,0
58,USA,Mobile,Finance,Evening,0.0822,0
39,India,Mobile,Electronics,Afternoon,0.0292,0
23,Canada,Desktop,Fashion,Evening,0.0448,0
41,Canada,Mobile,Finance,Evening,0.1135,0
19,Australia,Mobile,Fashion,Evening,0.0539,0
49,UK,Mobile,Finance,Evening,0.1124,0
55,Canada,Mobile,Travel,Morning,0.0326,0
45,Germany,Tablet,Electronics,Morning,0.0154,0
55,USA,Desktop,Education,Evening,0.0483,0
26,India,Mobile,Finance,Morning,0.0882,1
18,Germany,Desktop,Education,Morning,0.0495,0
41,USA,Mobile,Gaming,Afternoon,0.1555,0
56,UK,Desktop,Finance,Afternoon,0.0647,0
40,Germany,Mobile,Travel,Afternoon,0.0202,0
60,Australia,Tablet,Travel,Night,0.01,0
57,UK,Desktop,Gaming,Afternoon,0.1311,0
